full_name,affiliation,homepage,scholarid,clean_author_name
Wei-Ying Ma,City University of Hong Kong,https://scholars.cityu.edu.hk/en/persons/weiyma,SToCbu8AAAAJ,Wei-Ying Ma
Wei-ming Lu 0001,Zhejiang University,http://mypage.zju.edu.cn/lwm,NOSCHOLARPAGE,Wei-ming Lu
Weibin Wu 0002,Sun Yat-sen University,http://sse.sysu.edu.cn/teacher/249,6mtEjCEAAAAJ,Weibin Wu
Weibo Gong,Univ. of Massachusetts Amherst,https://ece.umass.edu/faculty/weibo-gong,NOSCHOLARPAGE,Weibo Gong
Weichang Du,University of New Brunswick,https://www.cs.unb.ca/~wdu,NOSCHOLARPAGE,Weichang Du
Weichao Wang,UNC - Charlotte,https://cci.charlotte.edu/people/weichao-wang,AQeAemYAAAAJ,Weichao Wang
Weichen Liu,Nanyang Technological University,https://personal.ntu.edu.sg/liu,UozjxW8AAAAJ,Weichen Liu
Weicheng Ma,Oakland University,https://hikari-nyu.github.io,njnBrb4AAAAJ,Weicheng Ma
Weicheng Xie 0001,Shenzhen University,http://csse.szu.edu.cn/en/peopleaa2d.html?109452,S2uh8OIAAAAJ,Weicheng Xie
Weidan Xiong,Shenzhen University,https://dianaxiong.github.io,xzlA3EwAAAAJ,Weidan Xiong
Weidong Cai 0001,University of Sydney,https://sydney.edu.au/engineering/about/our-people/academic-staff/tom-cai.html,N8qTc2AAAAAJ,Weidong Cai
Weidong Geng,Zhejiang University,http://mypage.zju.edu.cn/capggeng,NOSCHOLARPAGE,Weidong Geng
Weidong Liu 0001,Tsinghua University,http://www.tsinghua.edu.cn/publish/csen/4623/2010/20101224001537675975573/20101224001537675975573_.html,c3M0GZwAAAAJ,Weidong Liu
Weidong Shi,University of Houston,http://www.uh.edu/nsm/computer-science/people/spotlight/spotlights/2014/larry-shi.php,OmPAy2EAAAAJ,Weidong Shi
Weidong Zhao,Fudan University,http://www.cs.fudan.edu.cn/?page_id=2038,NOSCHOLARPAGE,Weidong Zhao
Weidong Zhu 0002,Florida International University,https://weidong-zhu.github.io,cDV1x5AAAAAJ,Weidong Zhu
Weifa Liang,City University of Hong Kong,https://www.cs.cityu.edu.hk/~weliang,X1aZEfwAAAAJ,Weifa Liang
Weifeng Lv,Beihang University,http://scse.buaa.edu.cn/info/1078/2658.htm,NOSCHOLARPAGE,Weifeng Lv
Weigang Li 0001,Universidade de Brasília,http://cic.unb.br/~weigang,Sw_i7yQAAAAJ,Weigang Li
Weigang Zhang,Harbin Institute of Technology,http://homepage.hit.edu.cn/zhangweigang,4bm5wYUAAAAJ,Weigang Zhang
Weiguo Zheng,Fudan University,https://weiguozheng.github.io/index-en.html,_ZHW2goAAAAJ,Weiguo Zheng
Weihang Wang 0001,University of Southern California,https://weihang-wang.github.io,MkPz_FoAAAAJ,Weihang Wang
Weihong Deng,BUPT,http://www.whdeng.cn,1rhBlUEAAAAJ,Weihong Deng
Weihong Ren,Harbin Institute of Technology,http://faculty.hitsz.edu.cn/renweihong,yu56w28AAAAJ,Weihong Ren
Weihua Zhang,Fudan University,http://www.cs.fudan.edu.cn/?page_id=2178###,6Ikypp0AAAAJ,Weihua Zhang
Weijia Jia 0001,Shanghai Jiao Tong University,http://www.cs.sjtu.edu.cn/en/PeopleDetail.aspx?id=293,2_mku2wAAAAJ,Weijia Jia
Weijie J. Su,University of Pennsylvania,http://www-stat.wharton.upenn.edu/~suw,Uhf4nBkAAAAJ,Weijie J. Su
Weijie Su 0001,University of Pennsylvania,http://www-stat.wharton.upenn.edu/~suw,Uhf4nBkAAAAJ,Weijie Su
Weijie Zhao 0001,Rochester Inst. of Technology,https://www.cs.rit.edu/~wjz,c-gzOhwAAAAJ,Weijie Zhao
Weijun Chen,Tsinghua University,https://www.facebook.com/public/WeiJun-Chen?page=5,7MErH44AAAAJ,Weijun Chen
Weike Pan,Shenzhen University,https://sites.google.com/site/weikep,pC5Q26MAAAAJ,Weike Pan
Weikuan Yu,Florida State University,http://www.cs.fsu.edu/~yuw,G5I0JlwAAAAJ,Weikuan Yu
Weile Jia,Chinese Academy of Sciences,https://people.ucas.ac.cn/~jiaweile,Kzi4rW0AAAAJ,Weile Jia
Weili Han,Fudan University,http://crypto.fudan.edu.cn/people/weili,n5g_EI0AAAAJ,Weili Han
Weili Lily Wu,University of Texas at Dallas,http://www.utdallas.edu/~weiliwu,Flmif3gAAAAJ,Weili Lily Wu
Weili Wu 0001,University of Texas at Dallas,http://www.utdallas.edu/~weiliwu,Flmif3gAAAAJ,Weili Wu
